customer,type_c,consumption_c,location_c
Customer341,Class04,center,CIUDAD DE MEXICO
Customer342,Class01,center,CIUDAD DE MEXICO
Customer343,Class01,south,VERACRUZ
Customer344,Class01,center,CIUDAD DE MEXICO
Customer345,Class01,center,ESTADO DE MEXICO
Customer346,Class01,center,CIUDAD DE MEXICO
Customer347,Class01,center,CIUDAD DE MEXICO
Customer348,Class02,center,CIUDAD DE MEXICO
Customer349,Class01,center,CIUDAD DE MEXICO
Customer350,Class01,center,CIUDAD DE MEXICO
Customer351,Class01,center,CIUDAD DE MEXICO
Customer352,Class01,center,CIUDAD DE MEXICO
Customer353,Class01,center,CIUDAD DE MEXICO
Customer354,Class01,center,CIUDAD DE MEXICO
Customer355,Class01,center,CIUDAD DE MEXICO
Customer356,Class01,center,CIUDAD DE MEXICO
Customer357,Class01,center,CIUDAD DE MEXICO
Customer358,Class01,center,CIUDAD DE MEXICO
Customer359,Class01,center,MICHOACAN
Customer360,Class01,center,CIUDAD DE MEXICO
Customer361,Class01,center,CIUDAD DE MEXICO
Customer362,Class01,center,CIUDAD DE MEXICO
Customer363,Class01,center,CIUDAD DE MEXICO
Customer364,Class01,center,CIUDAD DE MEXICO
Customer365,Class01,center,CIUDAD DE MEXICO
Customer366,Class01,center,CIUDAD DE MEXICO
Customer367,Class01,center,CIUDAD DE MEXICO
Customer368,Class01,center,CIUDAD DE MEXICO
Customer369,Class01,center,CIUDAD DE MEXICO
Customer370,Class01,center,CIUDAD DE MEXICO
Customer371,Class01,center,CIUDAD DE MEXICO
Customer372,Class01,center,CIUDAD DE MEXICO
Customer373,Class01,center,CIUDAD DE MEXICO
Customer374,Class01,center,CIUDAD DE MEXICO
Customer375,Class01,center,CIUDAD DE MEXICO
Customer376,Class01,center,CIUDAD DE MEXICO
Customer377,Class01,center,CIUDAD DE MEXICO
Customer378,Class01,center,CIUDAD DE MEXICO
Customer379,Class01,center,CIUDAD DE MEXICO
Customer380,Class01,center,CIUDAD DE MEXICO
Customer381,Class01,center,CIUDAD DE MEXICO
Customer382,Class01,center,CIUDAD DE MEXICO
Customer383,Class01,center,CIUDAD DE MEXICO
Customer384,Class01,center,CIUDAD DE MEXICO
Customer385,Class01,center,CIUDAD DE MEXICO
Customer386,Class01,center,CIUDAD DE MEXICO
Customer387,Class01,center,CIUDAD DE MEXICO
Customer388,Class01,center,CIUDAD DE MEXICO
Customer389,Class01,center,CIUDAD DE MEXICO
Customer390,Class01,center,CIUDAD DE MEXICO
Customer391,Class01,center,CIUDAD DE MEXICO
Customer392,Class01,center,CIUDAD DE MEXICO
Customer393,Class01,center,CIUDAD DE MEXICO
Customer394,Class01,center,CIUDAD DE MEXICO
Customer395,Class01,center,CIUDAD DE MEXICO
Customer396,Class01,center,CIUDAD DE MEXICO
Customer397,Class02,center,CIUDAD DE MEXICO
Customer398,Class02,center,CIUDAD DE MEXICO
Customer399,Class01,center,CIUDAD DE MEXICO
Customer400,Class01,center,CIUDAD DE MEXICO
Customer401,Class01,center,CIUDAD DE MEXICO
Customer402,Class01,center,CIUDAD DE MEXICO
Customer403,Class01,center,CIUDAD DE MEXICO
Customer404,Class01,center,CIUDAD DE MEXICO
Customer405,Class01,center,CIUDAD DE MEXICO
Customer406,Class02,center,CIUDAD DE MEXICO
Customer407,Class01,center,CIUDAD DE MEXICO
Customer408,Class01,center,CIUDAD DE MEXICO
Customer409,Class01,center,CIUDAD DE MEXICO
Customer410,Class01,center,CIUDAD DE MEXICO
Customer411,Class01,center,CIUDAD DE MEXICO
Customer412,Class01,center,CIUDAD DE MEXICO
Customer413,Class01,center,CIUDAD DE MEXICO
Customer414,Class01,center,CIUDAD DE MEXICO
Customer415,Class01,center,CIUDAD DE MEXICO
Customer416,Class01,center,CIUDAD DE MEXICO
Customer417,Class01,center,CIUDAD DE MEXICO
Customer418,Class01,center,CIUDAD DE MEXICO
Customer419,Class01,center,CIUDAD DE MEXICO
Customer420,Class01,center,CIUDAD DE MEXICO
Customer421,Class01,center,CIUDAD DE MEXICO
Customer422,Class01,center,CIUDAD DE MEXICO
Customer423,Class01,center,CIUDAD DE MEXICO
Customer424,Class01,center,CIUDAD DE MEXICO
Customer425,Class01,center,CIUDAD DE MEXICO
Customer426,Class01,center,CIUDAD DE MEXICO
Customer427,Class01,center,CIUDAD DE MEXICO
Customer428,Class01,center,CIUDAD DE MEXICO
Customer429,Class01,center,CIUDAD DE MEXICO
Customer430,Class01,center,CIUDAD DE MEXICO
Customer431,Class01,center,CIUDAD DE MEXICO
Customer432,Class01,center,CIUDAD DE MEXICO
Customer433,Class01,center,CIUDAD DE MEXICO
Customer434,Class01,center,CIUDAD DE MEXICO
Customer435,Class01,center,CIUDAD DE MEXICO
Customer436,Class01,center,CIUDAD DE MEXICO
Customer437,Class01,center,CIUDAD DE MEXICO
Customer438,Class01,center,CIUDAD DE MEXICO
Customer439,Class01,center,CIUDAD DE MEXICO
Customer440,Class01,center,CIUDAD DE MEXICO
Customer441,Class01,center,CIUDAD DE MEXICO
Customer442,Class01,center,CIUDAD DE MEXICO
Customer443,Class01,center,CIUDAD DE MEXICO
Customer444,Class01,center,CIUDAD DE MEXICO
Customer445,Class01,center,CIUDAD DE MEXICO
Customer446,Class01,center,CIUDAD DE MEXICO
Customer447,Class01,center,CIUDAD DE MEXICO
Customer448,Class01,center,CIUDAD DE MEXICO
Customer449,Class01,center,CIUDAD DE MEXICO
Customer450,Class01,center,CIUDAD DE MEXICO
Customer451,Class01,center,CIUDAD DE MEXICO
Customer452,Class01,center,CIUDAD DE MEXICO
Customer453,Class01,center,CIUDAD DE MEXICO
Customer454,Class01,center,CIUDAD DE MEXICO
Customer455,Class01,center,CIUDAD DE MEXICO
Customer456,Class01,center,CIUDAD DE MEXICO
Customer457,Class01,center,CIUDAD DE MEXICO
Customer458,Class01,center,CIUDAD DE MEXICO
Customer459,Class01,center,CIUDAD DE MEXICO
Customer460,Class01,center,CIUDAD DE MEXICO
Customer461,Class01,center,CIUDAD DE MEXICO
Customer462,Class01,center,CIUDAD DE MEXICO
Customer463,Class01,center,CIUDAD DE MEXICO
Customer464,Class01,center,CIUDAD DE MEXICO
Customer465,Class01,center,CIUDAD DE MEXICO
Customer466,Class01,center,CIUDAD DE MEXICO
Customer467,Class01,center,CIUDAD DE MEXICO
Customer468,Class01,center,CIUDAD DE MEXICO
Customer469,Class01,center,CIUDAD DE MEXICO
Customer470,Class01,center,CIUDAD DE MEXICO
Customer471,Class01,center,CIUDAD DE MEXICO
Customer472,Class01,center,CIUDAD DE MEXICO
Customer473,Class01,center,CIUDAD DE MEXICO
Customer474,Class01,center,CIUDAD DE MEXICO
Customer475,Class01,center,CIUDAD DE MEXICO
Customer476,Class01,south,TABASCO
Customer477,Class01,center,CIUDAD DE MEXICO
Customer478,Class01,center,CIUDAD DE MEXICO
Customer479,Class01,center,GUERRERO
Customer480,Class01,center,CIUDAD DE MEXICO
Customer481,Class01,center,CIUDAD DE MEXICO
Customer482,Class01,center,CIUDAD DE MEXICO
Customer483,Class01,center,CIUDAD DE MEXICO
Customer484,Class01,center,GUERRERO
Customer485,Class01,center,CIUDAD DE MEXICO
Customer486,Class01,center,CIUDAD DE MEXICO
Customer487,Class01,center,PUEBLA
Customer488,Class01,center,CIUDAD DE MEXICO
Customer489,Class01,center,CIUDAD DE MEXICO
Customer490,Class01,center,ESTADO DE MEXICO
Customer491,Class01,center,MORELOS
Customer492,Class01,center,CIUDAD DE MEXICO
Customer493,Class01,center,HIDALGO
Customer494,Class01,center,CIUDAD DE MEXICO
Customer495,Class01,center,CIUDAD DE MEXICO
Customer496,Class01,center,CIUDAD DE MEXICO
Customer497,Class01,center,CIUDAD DE MEXICO
Customer498,Class01,center,ESTADO DE MEXICO
Customer499,Class01,center,MORELOS
Customer500,Class01,center,CIUDAD DE MEXICO
Customer501,Class01,center,CIUDAD DE MEXICO
Customer502,Class01,center,GUERRERO
Customer503,Class01,center,CIUDAD DE MEXICO
Customer504,Class01,center,ESTADO DE MEXICO
Customer505,Class01,center,CIUDAD DE MEXICO
Customer506,Class01,center,CIUDAD DE MEXICO
Customer507,Class01,center,CIUDAD DE MEXICO
Customer508,Class01,center,MORELOS
Customer509,Class01,center,CIUDAD DE MEXICO
Customer510,Class01,center,HIDALGO
Customer511,Class01,center,ESTADO DE MEXICO
Customer512,Class01,center,CIUDAD DE MEXICO
Customer513,Class01,center,CIUDAD DE MEXICO
Customer514,Class01,center,CIUDAD DE MEXICO
Customer515,Class05,center,CIUDAD DE MEXICO
Customer516,Class01,center,CIUDAD DE MEXICO
Customer517,Class01,center,CIUDAD DE MEXICO
Customer518,Class01,center,CIUDAD DE MEXICO
Customer519,Class01,center,CIUDAD DE MEXICO
Customer520,Class01,center,ESTADO DE MEXICO
Customer521,Class01,center,CIUDAD DE MEXICO
Customer522,Class01,center,CIUDAD DE MEXICO
Customer523,Class01,center,HIDALGO
Customer524,Class01,center,CIUDAD DE MEXICO
Customer525,Class01,center,CIUDAD DE MEXICO
Customer526,Class01,center,CIUDAD DE MEXICO
Customer527,Class01,center,CIUDAD DE MEXICO
Customer528,Class01,center,CIUDAD DE MEXICO
Customer529,Class01,center,CIUDAD DE MEXICO
Customer530,Class01,center,CIUDAD DE MEXICO
Customer531,Class01,center,MORELOS
Customer532,Class01,center,CIUDAD DE MEXICO
Customer533,Class02,center,MORELOS
Customer534,Class01,center,CIUDAD DE MEXICO
Customer535,Class01,center,CIUDAD DE MEXICO
Customer536,Class01,center,ESTADO DE MEXICO
Customer537,Class01,center,CIUDAD DE MEXICO
Customer538,Class01,center,PUEBLA
Customer539,Class01,center,CIUDAD DE MEXICO
Customer540,Class01,center,ESTADO DE MEXICO
Customer541,Class01,center,ESTADO DE MEXICO
Customer542,Class01,center,CIUDAD DE MEXICO
Customer543,Class01,center,CIUDAD DE MEXICO
Customer544,Class05,center,CIUDAD DE MEXICO
Customer545,Class01,center,CIUDAD DE MEXICO
Customer546,Class05,center,ESTADO DE MEXICO
Customer547,Class01,center,ESTADO DE MEXICO
Customer548,Class01,center,CIUDAD DE MEXICO
Customer549,Class01,center,CIUDAD DE MEXICO
Customer550,Class01,center,CIUDAD DE MEXICO
Customer551,Class01,center,QUERETARO
Customer552,Class01,center,ESTADO DE MEXICO
Customer553,Class01,center,PUEBLA
Customer554,Class01,center,CIUDAD DE MEXICO
Customer555,Class01,center,ESTADO DE MEXICO
Customer556,Class01,center,CIUDAD DE MEXICO
Customer557,Class01,center,CIUDAD DE MEXICO
Customer558,Class01,center,CIUDAD DE MEXICO
Customer559,Class01,center,CIUDAD DE MEXICO
Customer560,Class01,center,CIUDAD DE MEXICO
Customer561,Class01,center,CIUDAD DE MEXICO
Customer562,Class01,center,ESTADO DE MEXICO
Customer563,Class01,center,CIUDAD DE MEXICO
Customer564,Class01,center,CIUDAD DE MEXICO
Customer565,Class01,center,CIUDAD DE MEXICO
Customer566,Class01,south,TABASCO
Customer567,Class01,center,CIUDAD DE MEXICO
Customer568,Class01,center,CIUDAD DE MEXICO
Customer569,Class01,center,CIUDAD DE MEXICO
