Customer,Class,Kcustomer,Location
Customer400,Class01,Foraneo,
Customer401,Class01,Local,
Customer402,Class01,Local,
Customer403,Class01,Local,
Customer404,Class01,Local,
Customer405,Class01,Local,
Customer406,Class02,Foraneo,
Customer407,Class01,Local,
Customer408,Class01,Local,
Customer409,Class01,Local,
Customer410,Class01,Local,
Customer411,Class01,Local,
Customer412,Class01,Foraneo,
Customer413,Class01,Local,
Customer414,Class01,Local,
Customer415,Class01,Local,
Customer416,Class01,Foraneo,
Customer417,Class01,Local,
Customer418,Class01,Local,
Customer419,Class01,Local,CDMX
Customer420,Class01,Local,
Customer421,Class01,Local,
Customer422,Class01,Local,
Customer423,Class01,Local,
Customer424,Class01,Local,
Customer425,Class01,Local,
Customer426,Class01,Local,
Customer427,Class01,Local,
Customer428,Class01,Local,
Customer429,Class01,Local,
Customer430,Class01,Local,
Customer431,Class01,Foraneo,
Customer432,Class01,Local,
Customer433,Class01,Local,
Customer434,Class01,Local,
Customer435,Class01,Local,
Customer436,Class01,Local,
Customer437,Class01,Local,
Customer438,Class01,Local,
Customer439,Class01,Foraneo,
Customer440,Class01,Local,
Customer441,Class01,Local,
Customer442,Class01,Local,
Customer443,Class01,Local,
Customer444,Class01,Local,
Customer445,Class01,Local,
Customer446,Class01,Foraneo,
Customer447,Class01,Local,
Customer448,Class01,Local,
Customer449,Class01,Foraneo,
Customer450,Class01,Local,CDMX
Customer451,Class01,Local,
Customer452,Class01,Local,
Customer453,Class01,Local,
Customer454,Class01,Local,
Customer455,Class01,Local,
Customer456,Class01,Local,
Customer457,Class01,Local,
Customer458,Class01,Local,
Customer459,Class01,Foraneo,
Customer460,Class01,Local,
Customer461,Class01,Local,
Customer462,Class01,Local,
Customer463,Class01,Local,
Customer464,Class01,Local,
Customer465,Class01,Local,
Customer466,Class01,Foraneo,
Customer467,Class01,Local,
Customer468,Class01,Local,
Customer469,Class01,Local,
Customer470,Class01,Local,
Customer471,Class01,Local,
Customer472,Class01,Local,
Customer473,Class01,Local,
Customer474,Class01,Local,CDMX
Customer475,Class01,Local,CDMX
Customer476,Class01,Foraneo,TABASCO
Customer477,Class01,Foraneo,CDMX
Customer478,Class01,Local,CDMX
Customer479,Class01,Foraneo,GUERRERO
Customer480,Class01,Local,CDMX
Customer481,Class01,Local,CDMX
Customer482,Class01,Local,CDMX
Customer483,Class01,Local,CDMX
Customer484,Class01,Foraneo,GUERRERO
Customer485,Class01,Foraneo,CDMX
Customer486,Class01,Local,CDMX
Customer487,Class01,Foraneo,PUEBLA
Customer488,Class01,Local,CDMX
Customer489,Class01,Local,D. F.
Customer490,Class01,Foraneo,EDO MEX
Customer491,Class01,Foraneo,MORELOS
Customer492,Class01,Foraneo,D. F.
Customer493,Class01,Local,Miguel Hidalgo
Customer494,Class01,Foraneo,CDMX
Customer495,Class01,Local,CDMX
Customer496,Class01,Local,D. F.
Customer497,Class01,Local,CDMX
Customer498,Class01,Local,EDO MEX
Customer499,Class01,Foraneo,MORELOS
Customer500,Class01,Foraneo,CDMX
Customer501,Class01,Local,CDMX
Customer502,Class01,Foraneo,GUERRERO
Customer503,Class01,Local,D. F.
Customer504,Class01,Foraneo,EDO MEX
Customer505,Class01,Local,CDMX
Customer506,Class01,Local,CDMX
Customer507,Class01,Local,D. F.
Customer508,Class01,Foraneo,MORELOS
Customer509,Class01,Foraneo,CDMX
Customer510,Class01,Foraneo,HIDALGO
Customer511,Class01,Foraneo,EDO MEX
Customer512,Class01,Local,CDMX
Customer513,Class01,Local,D. F.
Customer514,Class01,Local,CDMX
Customer515,Class05,Local,D. F.
Customer516,Class01,Local,CDMX
Customer517,Class01,Local,CDMX
Customer518,Class01,Foraneo,CDMX
Customer519,Class01,Local,D. F.
Customer520,Class01,Foraneo,EDO MEX
Customer521,Class01,Local,CDMX
Customer522,Class01,Foraneo,CDMX
Customer523,Class01,Foraneo,HIDALGO
Customer524,Class01,Local,CDMX
Customer525,Class01,Foraneo,CDMX
Customer526,Class01,Local,D. F.
Customer527,Class01,Foraneo,D. F.
Customer528,Class01,Local,D. F.
Customer529,Class01,Local,D. F.
Customer530,Class01,Local,CDMX
Customer531,Class01,Foraneo,MORELOS
Customer532,Class01,Local,CDMX
Customer533,Class02,Foraneo,MORELOS
Customer534,Class01,Local,CDMX
Customer535,Class01,Local,CDMX
Customer536,Class01,Foraneo,EDO MEX
Customer537,Class01,Local,D. F.
Customer538,Class01,Foraneo,PUEBLA
Customer539,Class01,Foraneo,CDMX
Customer540,Class01,Local,EDO MEX
Customer541,Class01,Local,EDO MEX
Customer542,Class01,Local,CDMX
Customer543,Class01,Local,CDMX
Customer544,Class05,Local,CDMX
Customer545,Class01,Local,CDMX
Customer546,Class05,Local,EDO MEX
Customer547,Class01,Local,EDO MEX
Customer548,Class01,Local,CDMX
Customer549,Class01,Local,D. F.
Customer550,Class01,Foraneo,CDMX
Customer551,Class01,Foraneo,QUERETARO
Customer552,Class01,Foraneo,EDO MEX
Customer553,Class01,Foraneo,PUEBLA
Customer554,Class01,Local,CDMX
Customer555,Class01,Foraneo,EDO MEX
Customer556,Class01,Foraneo,CDMX
Customer557,Class01,Foraneo,CDMX
Customer558,Class01,Local,CDMX
Customer559,Class01,Local,D. F.
Customer560,Class01,Foraneo,CDMX
Customer561,Class01,Foraneo,CDMX
Customer562,Class01,Foraneo,EDO MEX
Customer563,Class01,Local,CDMX
Customer564,Class01,Local,CDMX
Customer565,Class01,Local,CDMX
Customer566,Class01,Local,TABASCO
Customer567,Class01,Local,CDMX
Customer568,Class01,Local,D. F.
Customer569,Class01,Foraneo,CDMX
Customer570,Class01,Local,CDMX
Customer571,Class01,Local,CDMX
Customer572,Class01,Foraneo,EDO MEX
Customer573,Class01,Foraneo,EDO MEX
Customer574,Class01,Local,CDMX
Customer575,Class01,Local,D. F.
Customer576,Class01,Local,D. F.
Customer577,Class01,Local,CDMX
Customer578,Class01,Local,CDMX
Customer579,Class01,Local,D. F.
Customer580,Class01,Foraneo,CDMX
Customer581,Class01,Local,CDMX
Customer582,Class01,Local,D. F.
Customer583,Class01,Local,CDMX
Customer584,Class01,Foraneo,EDO MEX
Customer585,Class01,Local,D. F.
Customer586,Class01,Local,D. F.
Customer587,Class01,Foraneo,CDMX
Customer588,Class01,Local,CDMX
Customer589,Class01,Foraneo,CDMX
Customer590,Class01,Local,EDO MEX
Customer591,Class01,Foraneo,MORELOS
Customer592,Class01,Foraneo,CDMX
Customer593,Class01,Local,D. F.
Customer594,Class01,Foraneo,GUANAJUATO
Customer595,Class01,Local,EDO MEX
Customer596,Class01,Foraneo,VERACRUZ
Customer597,Class01,Local,CDMX
Customer598,Class01,Foraneo,GUERRERO
Customer599,Class01,Foraneo,EDO MEX
Customer600,Class01,Local,D. F.
Customer601,Class01,Foraneo,MORELOS
Customer602,Class01,Local,CDMX
Customer603,Class06,Local,Distrito Federal
Customer604,Class01,Foraneo,MORELOS
Customer605,Class01,Foraneo,EDO MEX
Customer606,Class01,Foraneo,EDO MEX
Customer607,Class01,Local,CDMX
Customer608,Class01,Local,EDO MEX
Customer609,Class01,Foraneo,CHIAPAS
Customer610,Class01,Foraneo,EDO MEX
Customer611,Class02,Local,EDO MEX
Customer612,Class01,Local,EDO MEX
Customer613,Class01,Foraneo,CDMX
Customer614,Class01,Local,EDO MEX
Customer615,Class01,Local,EDO MEX
Customer616,Class01,Foraneo,CDMX
Customer617,Class01,Foraneo,CDMX
Customer618,Class01,Foraneo,ZACATECAS
Customer619,Class01,Local,EDO MEX
Customer620,Class01,Foraneo,GUERRERO
Customer621,Class01,Local,EDO MEX
Customer622,Class01,Foraneo,CDMX
Customer623,Class01,Foraneo,GUERRERO
Customer624,Class01,Foraneo,CDMX
Customer625,Class01,Foraneo,CDMX
Customer626,Class01,Foraneo,CDMX
Customer627,Class01,Foraneo,CDMX
Customer628,Class01,Local,CDMX
Customer629,Class01,Local,D. F.
Customer630,Class01,Foraneo,CDMX
Customer631,Class01,Foraneo,EDO MEX
Customer632,Class01,Local,"D, F."
Customer633,Class01,Local,CDMX
Customer634,Class01,Foraneo,EDO MEX
Customer635,Class01,Local,CDMX
Customer636,Class01,Foraneo,EDO MEX
Customer637,Class02,Foraneo,PUEBLA
Customer638,Class01,Foraneo,PUEBLA
Customer639,Class01,Local,CDMX
Customer640,Class01,Local,CDMX
Customer641,Class01,Foraneo,OAXACA
Customer642,Class01,Foraneo,OAXACA
Customer643,Class01,Local,D. F.
Customer644,Class01,Local,CDMX
Customer645,Class01,Local,CDMX
Customer646,Class01,Foraneo,MICHOACAN
Customer647,Class01,Foraneo,CDMX
Customer648,Class01,Foraneo,VERACRUZ
Customer649,Class01,Foraneo,GUERRERO
Customer650,Class07,Local,CDMX
Customer651,Class01,Foraneo,CDMX
Customer652,Class01,Foraneo,CDMX
Customer653,Class01,Local,CDMX
Customer654,Class01,Foraneo,MORELOS
Customer655,Class01,Local,EDO MEX
Customer656,Class02,Foraneo,OAXACA
Customer657,Class01,Foraneo,EDO MEX
Customer658,Class01,Local,CDMX
Customer659,Class01,Foraneo,CDMX
Customer660,Class01,Local,CDMX
Customer661,Class02,Foraneo,Tabasco
Customer662,Class01,Foraneo,EDO MEX
Customer663,Class01,Foraneo,CDMX
Customer664,Class01,Local,CDMX
Customer665,Class01,Local,CDMX
Customer666,Class01,Local,CDMX
Customer667,Class01,Local,CDMX
Customer668,Class01,Local,CDMX
Customer669,Class01,Local,CDMX
